Update as of,Domain,Endpoints,Revenue (in USD ),Edition,License Date,Product,Region,Industry,Type,CPL
Jun 2024,bayer.com,4500,"$1,35,706.96",Security,6/25/2024,Endpoint Central,Russia,Healthcare,Zero Cost,$0.00
Jul 2024,wsp.com,100,$645.00,Professional,7/9/2024,OS Deployer,Finland,Civil Engineering,Zero Cost,$0.00
Aug 2024,dekra.com,500,"$4,168.00",UEM,8/14/2024,Endpoint Central Cloud,Portugal,Public Order And Safety,Zero Cost,$0.00
Oct 2024,mail.fresnostate.edu,5000,"$68,780.00",UEM,31/10/2024,EC Cloud,US,Education,Purchased,$0.40
Oct 2024,fvtd.com,250,$946.00,Enterprise,9/8/2024,PCP,US,Manufacturing,Purchased,$0.40
Oct 2024,harrisbattery.com,50,$953.00,Professional,24/9/2024,MDM,US,Manufacturing,Purchased,$0.40
Oct 2024,heliny.com,26,$645.00,Professional,17/10/2024,MDMOnDemand,US,Aviation,Purchased,$0.40
Oct 2024,harger.com,165,"$2,619.00",Enterprise,30/10/2024,VMP,US,Manufacturing,Purchased,$0.40
Nov 2024,airliteplastics.com,800,"$5,955.00",Enterprise,21/11/2024,PMP Cloud,US,Manufacturing,Purchased,$0.40
Nov 2024,sasol.com,70,"$1,128.00",Enterprise,7/11/2024,PMP,South Africa,Chemicals,Purchased,$0.40
Nov 2024,seidor.com,75,$462.00,Enterprise,19/11/2024,PMP,Spain,Computer Related Services,Purchased,$0.40
Nov 2024,siemens.com,290,"$12,406.00",Security,6/11/2024,EC,US,General Industrial Machinery,Purchased,$0.40
Nov 2024,foresite.com,200,"$5,125.91",Enterprise,15/11/2024,EC MSP Cloud,UK,Managed security and compliance service provider,Zero Cost,$0.00
Dec 2024,pkf.com,1050,"$9,306.50",UEM,12/6/2024,"Device Control Plus, Endpoint Central Cloud",Saudi Arabia,"Business Services, Nec",Zero Cost,$0.00
Dec 2024,planethomelending.com,2840,"$16,239.00",Enterprise,12/19/2024,Patch Manager Plus Cloud,US,Financial Services,Purchased,$0.40
Dec 2024,georgesinc.com,2275,"$25,000.00",Enterprise,12/31/2024,Endpoint Central Cloud,US,Poultry & Prepared Food,Purchased,$0.40
Jan 2025,idexcorp.com,250,"$7,018.92",UEM,30/01/2025,Endpoint Central,Netherlands,"Industrial goods and
 machinery",Zero Cost,$0.00
Jan 2025,redingtongroup.com,200,"$2,442.30",Enterprise,30/01/2025,PMP Cloud,United Arab Emirates,IT,Zero Cost,$0.00
Feb 2025,co.ellis.tx.us,580,"$2,982.00",Enterprise,15/02/2025,Patch Manager Plus,US,Federal,Purchased,$0.40
Feb 2025,aventiv.com,950,"$8,698.00",Enterprise,14/02/2025,Patch Manager Plus,US,Federal,Purchased,$0.40
Feb 2025,baystateinterpreters.com,110,$840.00,Enterprise,4/2/2025,Patch Manager Plus,US,Translation services,Purchased,$0.40
Feb 2025,thecityofniles.com,50,"$1,463.00",Professional,13/02/2025,Mobile Device Manager,US,Federal,Purchased,$0.40
Feb 2025,blackedge.com,200,"$8,075.00",Enterprise,14/02/2025,OS Deployer,US,Finance,Purchased,$0.40
Feb 2025,bobbrownauto.com,250,"$1,495.00",Enterprise,11/2/2025,OS Deployer,US,Automotive,Purchased,$0.40
Feb 2025,skylinenationalbank.com,500,"$31,488.00",UEM,8/2/2025,Endpoint Central,US,Banking,Purchased,$0.40
Feb 2025,orabandamining.com.au,256,"$10,007.97",Security,27/2/2025,Endpoint Central Cloud,Australia,Mining industry,Zero Cost,$0.40
Feb 2025,imagenetconsulting.com,575,"$5,941.00",Enterprise,21/2/2025,VMP,US,IT,Purchased,$0.40
Feb 2025,indysoft.com,70,"$3,173.00",Security,26/2/2025,Endpoint central cloud,US,Software solutions,Purchased,$0.40
Feb 2025,dessercom.org,250,"$2,016.00",Enterprise,13/02/2025,PMP Cloud,Canada,Emergency medical services,Zero Cost,$0.00
Feb 2025,toughbuilt.com,250,"$4,421.00",Enterprise,28/2/2025,Endpoint Central MSP Cloud,US,Construction tools and accessories,Zero Cost,$0.00
Mar 2025,bensonsforbeds.co.uk,60,$101.12,Professional (Monthly payment),3/3/2025,PMP Cloud,UK,Retail,Purchased,$0.60
Mar 2025,buckeyebroadband.com,2800,"$62,810.20",UEM,4/3/2025,Endpoint Central Cloud,US,Telecommunications,Purchased,$0.40
Mar 2025,apsystem.it,52,$535.70,Enterprise,14/3/2025,VMP,Netherlands,Renewable energy sector,Zero Cost,$0.00
Mar 2025,apsystem.it,52,"$2,338.25",Enterprise,14/3/2025,Endpoint Central,Netherlands,Renewable energy sector,Zero Cost,$0.00
Mar 2025,aaml.com.sa,525,"$3,055.50",Enterprise,28/3/2025,Patch Manager Plus,Saudi Arabia,Diagnostic imaging services,Zero Cost,$0.00
Mar 2025,acmelc.com.hk,100,$255.94,Professional,10/3/2025,Patch Manager Plus,Hong Kong,Educational institution,Zero Cost,$0.00
Mar 2025,aurigaspa.com,680,"$42,104.70",Security,31/3/2025,Endpoint Central,Italy,Information Technology and Services,Zero Cost,$0.00
Mar 2025,nagase-nam.com,150,"$4,112.00",Enterprise,26/3/2025,Endpoint Central Cloud,US,Chemical Manufacturing,Purchased,$0.40
Apr 2025,1st-edge.com,175,"$3,010.00",Enterprise,30/4/2025,VMP,US,Defense and Space Manufacturing,Purchased,$0.40
Apr 2025,agrikemilau.com,50,$838.50,Enterprise,23/4/2025,Endpoint Central,Indonesia,Agriculture,Zero Cost,$0.00
Apr 2025,apsystems.tech,100,"$2,844.00",Security,15/4/2025,Endpoint Central Cloud,Poland,Solar Energy / Renewable Energy,Zero Cost,$0.00
Apr 2025,cna.org.br,515,"$4,024.00",Professional,2/4/2025,Endpoint Central,Brazil,Nonprofit Research and Analysis,Zero Cost,$0.00
Apr 2025,fairmountpark.com,180,"$9,492.00",Security,30/4/2025,Endpoint Central Cloud,"US, Canada",Gambling Facilities and Casinos,Purchased,$0.40
Apr 2025,geniodiligence.it,85,"$3,630.00",Security,30/4/2025,Endpoint Central,Italy,Banking / Fintech,Zero Cost,$0.00
Apr 2025,harrisseeds.com,135,"$5,549.00",Enterprise,24/4/2025,Endpoint Central Cloud,US,Farming / Horticulture,Purchased,$0.40
Apr 2025,lamache.org,925,"$28,035.00",UEM,9/4/2025,Endpoint Central,France,Education / Vocational Training,Zero Cost,$0.00
Apr 2025,medicareonline.it,400,"$13,180.00",Professional,30/4/2025,Mobile Device Manager Plus Cloud,Italy,Healthcare Data Analytics,Zero Cost,$0.00
Apr 2025,prosearch.com,1755,"$43,862.00",Security,30/4/2025,Endpoint Central,US,Legal Technology / E-Discovery,Purchased,$0.00
Apr 2025,sau53.org,55,"$3,819.00",Enterprise,26/4/2025,Patch Manager Plus,US,Education,Purchased,$0.00
Apr 2025,shieldcompany.com.br,320,"$6,372.00",Security,2/4/2025,Endpoint Central,Brazil,Healthcare Logistics / Cold Chain Solutions,Zero Cost,$0.00
Apr 2025,whitelabgx.com,70,"$3,322.40",Security,10/4/2025,Endpoint Central Cloud,France,Biotechnology Research,Zero Cost,$0.00
Apr 2025,grupocox.com,5000,"$44,805.00",Security,26/4/2025,Endpoint Central Cloud,Spain,Water and Energy Utilities,Zero Cost,$0.00
Apr 2025,hindujahousingfinance.com,2515,"$32,095.40",Security,30/4/2025,Endpoint Central Cloud,India,Financial Services / Housing Finance,Zero Cost,$0.00
May 2025,hirschsecure.com,206,"$4,865.00",Enterprise,5/7/2025,Endpoint Central,US,Security Technology,Purchased,$0.40
May 2025,vulcabras.com,1900,"$22,000.00",Security,5/31/2025,Endpoint Central,Brazil,Footwear Manufacturing,Zero-Cost,$0.00
May 2025,xops.io,120,"$1,180.00",Enterprise,5/10/2025,PMP Cloud,US,Software Development / IT Operations,Purchased,$0.40
May 2025,wasa-technologies.com,100,"$1,174.25",Professional,5/15/2025,Endpoint Central,Germany,Concrete Production Technology,Zero-cost,$0.00
May 2025,landform.ca,38,$920.00,Professional,5/9/2025,MDM OnDemand,Canada,Landscape Construction,Zero-Cost,$0.00
May 2025,kokusai-electric.com,310,"$27,240.00",UEM,5/15/2025,Endpoint Central,US,Semiconductor Manufacturing Equipment,Purhased,$0.40
May 2025,it-advisor.ch,50,"$1,677.00",Enterprise,5/31/2025,Patch Manager Plus,Switzerland,IT Consulting,Zero-Cost,$0.00
May 2025,bonollo.it,125,$438.69,Enterprise,5/24/2025,Vulnerability Manager Plus,Italy,Spirits & Distillation,Zero-Cost,$0.00
May 2025,bonollo.it,125,"$1,687.68",Enterprise,5/24/2025,Endpoint Central,Italy,Spirits & Distillation,Zero-Cost,$0.00
May 2025,bonollo.it,125,$752.40,Enterprise,5/24/2025,OS Deployer,Italy,Spirits & Distillation,Zero-Cost,$0.00
May 2025,merchantscx.co.za,3800,"$21,686.25",Enterprise,5/29/2025,Endpoint Central,South Arica,Customer Experience Management,Zero-Cost,$0.00
May 2025,asp.gov.md,2500,"$14,323.40",Professional,5/17/2025,Device Control Plus,Romania,Government Services,Zero-Cost,$0.00
May 2025,ny-creates.org,1100,"$64,950.00",Security,5/13/2025,Endpoint Central Cloud,US,Semiconductor Research & Development,Purchased,$0.40
May 2025,nederlander.com,250,"$20,220.00",UEM,5/13/2025,Endpoint Central Cloud,US,Live Entertainment,Purchased,$0.40
May 2025,abxnetwork.pro,1000,"$16,158.00",Security,5/10/2025,Endpoint Central,Cyprus,Blockchain & Cryptocurrency,Zero-Cost,$0.00
May 2025,pedongroup.com,120,"$2,038.57",Enterprise,5/30/2025,Endpoint Central Cloud,Italy,Construction & Real Estate,Zero-Cost,$0.00
May 2025,schur.com,1000,"$20,814.30",Security,5/16/2025,Endpoint Central Cloud,Denmark,Packaging Solutions,Zero-Cost,$0.00
May 2025,adlerpelzer.com,5500,"$16,264.45",Enterprise,5/21/2025,Patch manager Plus,Germany,Automotive manufacturing,Zero-Cost,$0.00
June 2025,ayalaland.com.ph,16606,"$1,41,919.01",Security,6/30/2025,Endpoint Central Cloud,Philippines,Real Estate & Property Development,Zero-Cost,$0.00
June 2025,osourceglobal.com,1480,"$19,598.00",Security,6/27/2025,Endpoint Central,India,IT/Consulting/BPO,Zero-Cost,$0.00
June 2025,securitas.nl,25,$375.30,Enterprise,6/30/2025,PMP Cloud,Netherlands,Security Services,Zero-Cost,$0.00
June 2025,blupeak.com,500,"$13,155.00",UEM,6/18/2025,Endpoint Central Cloud,US,Banking / Financial Services,Purchased,$0.40
June 2025,winchester.ac.uk,2750,"$17,415.00",Enterprise,6/30/2025,PMP Cloud,UK,Education,Purchased,$0.40
